,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Active Cases/1M pop,Date,Country Code
0,USA,83170407.0,64031.0,1021089.0,429.0,80757424.0,37962.0,1391894.0,1550.0,248601.0,3052.0,1006269592.0,3007793.0,334554103.0,North America,4.0,328.0,0.0,4160.0,2022-05-03,USA
1,India,43085166.0,3235.0,523889.0,31.0,42541887.0,2802.0,19390.0,698.0,30669.0,373.0,838628250.0,596961.0,1404828550.0,Asia,33.0,2682.0,2.0,14.0,2022-05-03,IND
2,Brazil,30460997.0,21432.0,663657.0,108.0,29554308.0,30996.0,243032.0,8318.0,141466.0,3082.0,63776166.0,296187.0,215324039.0,South America,7.0,324.0,3.0,1129.0,2022-05-03,BRA
3,France,28690748.0,67017.0,146142.0,120.0,27163913.0,146246.0,1380693.0,1511.0,437774.0,2230.0,269816888.0,4116967.0,65537780.0,Europe,2.0,448.0,0.0,21067.0,2022-05-03,FRA
4,Germany,24791190.0,158213.0,135947.0,236.0,22658600.0,189400.0,1996643.0,1446.0,294173.0,1613.0,122332384.0,1451601.0,84274119.0,Europe,3.0,620.0,1.0,23692.0,2022-05-03,DEU
5,UK,22038340.0,11046.0,174912.0,102.0,21313159.0,93421.0,550269.0,302.0,321547.0,2552.0,517337635.0,7548132.0,68538498.0,Europe,3.0,392.0,0.0,8029.0,2022-05-03,GBR
6,Russia,18201074.0,5466.0,376292.0,125.0,17563272.0,7052.0,261510.0,2300.0,124623.0,2576.0,273400000.0,1871975.0,146048952.0,Europe,8.0,388.0,1.0,1791.0,2022-05-03,RUS
7,S. Korea,17346753.0,51020.0,23007.0,49.0,,,,417.0,337815.0,448.0,15804065.0,307772.0,51349914.0,Asia,3.0,2232.0,3.0,318486.0,2022-05-03,KOR
8,Italy,16523859.0,62675.0,163736.0,153.0,15155021.0,67398.0,1205102.0,368.0,274031.0,2715.0,214183728.0,3552018.0,60299169.0,Europe,4.0,368.0,0.0,19985.0,2022-05-03,ITA
9,Turkey,15034917.0,1193.0,98791.0,10.0,14931490.0,1354.0,4636.0,975.0,174826.0,1149.0,159230999.0,1851534.0,85999512.0,Asia,6.0,871.0,1.0,54.0,2022-05-03,TUR
10,Spain,11896152.0,14333.0,104456.0,53.0,11389694.0,14368.0,402002.0,339.0,254257.0,2233.0,471036328.0,10067479.0,46787912.0,Europe,4.0,448.0,0.0,8592.0,2022-05-03,ESP
11,Vietnam,10656649.0,2709.0,43044.0,,9265456.0,1825.0,1348149.0,475.0,107707.0,435.0,85800783.0,867191.0,98941036.0,Asia,9.0,2299.0,1.0,13626.0,2022-05-03,VNM
12,Argentina,9083673.0,,128653.0,,8895999.0,,59021.0,372.0,197666.0,2800.0,35716069.0,777204.0,45954590.0,South America,5.0,357.0,1.0,1284.0,2022-05-03,ARG
13,Netherlands,8051301.0,1757.0,22256.0,6.0,7875672.0,10770.0,153373.0,70.0,467984.0,1294.0,21107399.0,1226872.0,17204241.0,Europe,2.0,773.0,1.0,8915.0,2022-05-03,NLD
14,Japan,7925130.0,23197.0,29631.0,30.0,7517841.0,38420.0,377658.0,160.0,63014.0,236.0,48945912.0,389176.0,125768126.0,Asia,16.0,4244.0,3.0,3003.0,2022-05-03,JPN
15,Iran,7223005.0,571.0,141114.0,17.0,6989358.0,2643.0,92533.0,1038.0,84028.0,1642.0,50914586.0,592307.0,85959848.0,Asia,12.0,609.0,2.0,1076.0,2022-05-03,IRN
16,Colombia,6092667.0,,139797.0,,5926476.0,,26394.0,342.0,117449.0,2695.0,34465052.0,664384.0,51875179.0,South America,9.0,371.0,2.0,509.0,2022-05-03,COL
17,Indonesia,6047208.0,107.0,156287.0,18.0,5883664.0,395.0,7257.0,2771.0,21689.0,561.0,95693154.0,343213.0,278815543.0,Asia,46.0,1784.0,3.0,26.0,2022-05-03,IDN
18,Australia,6029879.0,37731.0,7310.0,41.0,5658513.0,41303.0,364056.0,143.0,231551.0,281.0,69540042.0,2670385.0,26041202.0,Australia/Oceania,4.0,3562.0,0.0,13980.0,2022-05-03,AUS
19,Poland,5997825.0,890.0,116069.0,14.0,5334769.0,28.0,546987.0,1321.0,158795.0,3073.0,36116043.0,956190.0,37770774.0,Europe,6.0,325.0,1.0,14482.0,2022-05-03,POL
20,Mexico,5740080.0,,324350.0,,5039624.0,,376106.0,4798.0,43680.0,2468.0,15801675.0,120246.0,131411221.0,North America,23.0,405.0,8.0,2862.0,2022-05-03,MEX
21,Ukraine,5002870.0,,108411.0,,,,,177.0,115665.0,2506.0,19521252.0,451326.0,43253122.0,Europe,9.0,399.0,2.0,19338.0,2022-05-03,UKR
22,Malaysia,4450859.0,922.0,35555.0,9.0,4378864.0,5520.0,36440.0,66.0,134367.0,1073.0,58808233.0,1775360.0,33124688.0,Asia,7.0,932.0,1.0,1100.0,2022-05-03,MYS
23,Thailand,4281536.0,9721.0,28781.0,77.0,4134191.0,20145.0,118564.0,1496.0,61060.0,410.0,17270775.0,246302.0,70120440.0,Asia,16.0,2436.0,4.0,1691.0,2022-05-03,THA
24,Austria,4154244.0,5240.0,18183.0,13.0,4063754.0,8028.0,72307.0,80.0,456489.0,1998.0,183321889.0,20144324.0,9100424.0,Europe,2.0,500.0,0.0,7945.0,2022-05-03,AUT
25,Israel,4080487.0,2474.0,10698.0,1.0,4048807.0,,20982.0,220.0,437539.0,1147.0,41373364.0,4436346.0,9326000.0,Asia,2.0,872.0,0.0,2250.0,2022-05-03,ISR
26,Belgium,4071279.0,,31494.0,,3839733.0,20124.0,200052.0,131.0,348511.0,2696.0,33643042.0,2879926.0,11681911.0,Europe,3.0,371.0,0.0,17125.0,2022-05-03,BEL
27,Czechia,3907793.0,1680.0,40175.0,5.0,3855944.0,1969.0,11674.0,30.0,363674.0,3739.0,55226142.0,5139548.0,10745331.0,Europe,3.0,267.0,0.0,1086.0,2022-05-03,CZE
28,Portugal,3853800.0,,22280.0,,,,,61.0,379972.0,2197.0,41336850.0,4075681.0,10142317.0,Europe,3.0,455.0,0.0,94194.0,2022-05-03,PRT
29,South Africa,3798413.0,3785.0,100370.0,7.0,3651665.0,9970.0,46378.0,192.0,62601.0,1654.0,24505584.0,403871.0,60676777.0,Africa,16.0,605.0,2.0,764.0,2022-05-03,ZAF
30,Canada,3756272.0,4989.0,39292.0,60.0,3459763.0,6786.0,257217.0,468.0,97953.0,1025.0,60943345.0,1589234.0,38347627.0,North America,10.0,976.0,1.0,6708.0,2022-05-03,CAN
31,Philippines,3686082.0,134.0,60410.0,2.0,3620369.0,290.0,5303.0,289.0,32838.0,538.0,29599478.0,263694.0,112249444.0,Asia,30.0,1858.0,4.0,47.0,2022-05-03,PHL
32,Switzerland,3602489.0,2034.0,13859.0,3.0,3485200.0,12315.0,103430.0,87.0,410754.0,1580.0,20767523.0,2367903.0,8770428.0,Europe,2.0,633.0,0.0,11793.0,2022-05-03,CHE
33,Peru,3566523.0,648.0,212865.0,12.0,,,,293.0,105481.0,6296.0,29886697.0,883904.0,33812147.0,South America,9.0,159.0,1.0,48296.0,2022-05-03,PER
34,Chile,3562521.0,1129.0,57541.0,3.0,3424634.0,4476.0,80346.0,209.0,183480.0,2964.0,37084042.0,1909930.0,19416438.0,South America,5.0,337.0,1.0,4138.0,2022-05-03,CHL
35,Greece,3331288.0,4262.0,29205.0,44.0,3230438.0,6725.0,71645.0,235.0,322489.0,2827.0,79941425.0,7738826.0,10329916.0,Europe,3.0,354.0,0.0,6936.0,2022-05-03,GRC
36,Denmark,2967388.0,913.0,6183.0,8.0,2944366.0,1689.0,16839.0,8.0,509028.0,1061.0,127233608.0,21825732.0,5829523.0,Europe,2.0,943.0,0.0,2889.0,2022-05-03,DNK
37,Romania,2894896.0,1116.0,65496.0,16.0,2606660.0,,222740.0,191.0,152339.0,3447.0,22725764.0,1195908.0,19002936.0,Europe,7.0,290.0,1.0,11721.0,2022-05-03,ROU
38,Sweden,2500917.0,,18739.0,,2470701.0,,11477.0,21.0,244840.0,1835.0,18513445.0,1812469.0,10214488.0,Europe,4.0,545.0,1.0,1124.0,2022-05-03,SWE
39,Iraq,2325247.0,40.0,25211.0,1.0,2298174.0,218.0,1862.0,15.0,55531.0,602.0,18482865.0,441400.0,41873314.0,Asia,18.0,1661.0,2.0,44.0,2022-05-03,IRQ
40,Serbia,2007091.0,463.0,16002.0,3.0,1977662.0,957.0,13427.0,21.0,231419.0,1845.0,9497175.0,1095029.0,8672986.0,Europe,4.0,542.0,1.0,1548.0,2022-05-03,SRB
